rank,bgg_url,names,min_players,max_players,avg_time,min_time,max_time,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
3722,12898/la-bataille-dauerstaedt,La Bataille d'Auerstí_dt,1,2,480,0,480,7.61533,5.72365,137,https://cf.geekdo-images.com/images/pic532540.jpg,12,Hex-and-Counter,463,"Napoleonic, Wargame",3.8571
3723,1233/facts-five,Facts in Five,1,5,30,30,30,6.08131,5.72353,732,https://cf.geekdo-images.com/images/pic1651611.jpg,8,none,1833,"Party Game, Trivia, Word Game",1.6711
3724,63/samurai,Samurai,2,8,180,180,180,6.41758,5.72344,384,https://cf.geekdo-images.com/images/pic245105.jpg,12,Area Movement,994,"Political, Wargame",2.5769
3725,23348/easter-island,Easter Island,2,2,20,20,20,6.3886,5.72344,362,https://cf.geekdo-images.com/images/pic426016.jpg,8,"Action Point Allowance System, Point to Point Movement",618,Abstract Strategy,2.3137
3726,145601/deadline,Deadline,2,4,60,60,60,6.878,5.7234,195,https://cf.geekdo-images.com/images/pic3420271.jpg,14,"Co-operative Play, Hand Management, Set Collection, Variable Player Powers",538,"Deduction, Murder/Mystery",2.3333
3727,171339/entropy,Entropy,2,6,15,15,15,6.36203,5.72317,422,https://cf.geekdo-images.com/images/pic2415140.jpg,12,"Hand Management, Simultaneous Action Selection, Variable Player Powers",971,"Bluffing, Card Game, Deduction, Science Fiction",1.875
3728,40432/stratego-revised-edition,Stratego (Revised Edition),2,2,30,30,30,6.22414,5.72317,580,https://cf.geekdo-images.com/images/pic362170.jpg,8,"Memory, Secret Unit Deployment",1325,"Abstract Strategy, Bluffing, Deduction, Fantasy, Fighting, Memory",1.9412
3729,213149/kings-will,The King's Will,2,4,90,50,90,7.14524,5.72316,168,https://cf.geekdo-images.com/images/pic3335532.jpg,10,none,273,"Farming, Industry / Manufacturing, Medieval, Territory Building",3.3
3730,139443/superfight,Superfight,3,10,30,30,30,6.03618,5.72263,1207,https://cf.geekdo-images.com/images/pic2429251.png,5,"Storytelling, Variable Player Powers, Voting",3009,"Card Game, Comic Book / Strip, Fighting, Humor, Party Game, Science Fiction",1.2941
3731,210663/tribes-early-civilization,Tribes: Early Civilization,1,4,50,30,50,6.96093,5.72247,205,https://cf.geekdo-images.com/images/pic3355638.png,8,"Grid Movement, Tile Placement",375,"Ancient, Civilization, Exploration, Prehistoric, Territory Building",2.1579
3732,14403/warhammer-40000-battle-macragge,"Warhammer 40,000: Battle for Macragge",2,2,120,0,120,6.55344,5.72247,334,https://cf.geekdo-images.com/images/pic58510.jpg,12,"Dice Rolling, Modular Board, Variable Player Powers",738,"Miniatures, Science Fiction",3
3733,165556/orongo,Orongo,2,4,40,40,40,6.57996,5.72225,257,https://cf.geekdo-images.com/images/pic2233614.jpg,10,Auction/Bidding,439,none,2.3125
3734,157322/dice-brewing,Dice Brewing,2,4,45,45,45,6.28622,5.72219,497,https://cf.geekdo-images.com/images/pic2230266.png,12,"Card Drafting, Dice Rolling, Set Collection, Worker Placement",831,Dice,2.4
