rank,bgg_url,names,min_players,max_players,avg_time,min_time,max_time,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
1814,19679/hordes,Hordes,2,8,60,60,60,7.57299,6.07052,444,https://cf.geekdo-images.com/images/pic125417.jpg,12,Variable Player Powers,682,"Book, Fantasy, Miniatures",3.3226
1815,24037/escape-atlantis,Escape from Atlantis,2,4,60,60,60,6.55317,6.07021,1296,https://cf.geekdo-images.com/images/pic159439.jpg,8,Modular Board,2002,"Adventure, Nautical",1.5646
1816,124380/ladies-gentlemen,Ladies & Gentlemen,4,10,30,30,30,6.58527,6.06896,1228,https://cf.geekdo-images.com/images/pic3396607.jpg,14,"Card Drafting, Partnerships, Set Collection, Simultaneous Action Selection",2476,"Humor, Party Game, Post-Napoleonic, Real-time",2.0227
1817,141791/pinata,Pií±ata,2,2,30,30,30,6.86548,6.06871,746,https://cf.geekdo-images.com/images/pic1473624.jpg,13,"Hand Management, Set Collection",1312,Card Game,1.4667
1818,84772/sun-sea-sand,"Sun, Sea & Sand",2,5,60,60,60,6.96139,6.06863,649,https://cf.geekdo-images.com/images/pic892478.jpg,10,"Tile Placement, Time Track, Worker Placement",803,"Economic, Travel",2.6271
1819,119637/zug-um-zug-deutschland,Zug um Zug: Deutschland,2,5,60,30,60,7.695,6.06796,392,https://cf.geekdo-images.com/images/pic1420706.jpg,8,"Hand Management, Route/Network Building, Set Collection",819,"Trains, Travel",1.9545
1820,163640/eminent-domain-microcosm,Eminent Domain: Microcosm,2,2,15,15,15,6.56714,6.06789,1184,https://cf.geekdo-images.com/images/pic2521236.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management",3489,"Card Game, Civilization, Print & Play, Science Fiction, Space Exploration",1.9016
1821,177354/frostgrave,Frostgrave,2,8,120,60,120,8.11685,6.06762,362,https://cf.geekdo-images.com/images/pic2570660.jpg,12,"Action Point Allowance System, Dice Rolling, Role Playing, Variable Player Powers",956,"Dice, Fantasy, Fighting, Miniatures",2.8
1822,119866/wings-glory-ww1-rules-and-accessories-pack,Wings of Glory: WW1 Rules and Accessories Pack,2,99,30,30,30,8.08159,6.06739,372,https://cf.geekdo-images.com/images/pic1381920.jpg,13,"Action / Movement Programming, Simulation, Simultaneous Action Selection",907,"Aviation / Flight, Card Game, Miniatures, Wargame, World War I",2
1823,169/en-garde,En Garde,2,2,30,30,30,6.49558,6.06737,1429,https://cf.geekdo-images.com/images/pic620883.jpg,8,"Hand Management, Point to Point Movement",1882,"Card Game, Sports",1.4103
1824,31722/steam-over-holland,Steam over Holland,2,5,180,180,180,7.36311,6.06735,453,https://cf.geekdo-images.com/images/pic245670.jpg,0,"Auction/Bidding, Route/Network Building, Stock Holding, Tile Placement",493,"Economic, Trains",3.8077
1825,135649/tales-games-three-little-pigs,Tales & Games: The Three Little Pigs,2,5,20,20,20,6.53047,6.06731,1362,https://cf.geekdo-images.com/images/pic1701673.jpg,7,"Dice Rolling, Press Your Luck, Take That",2673,"Animals, Children's Game, Dice, Novel-based",1.1579
1826,56885/werewolves-millers-hollow-village,The Werewolves of Miller's Hollow: The Village,8,18,30,30,30,6.99851,6.06682,624,https://cf.geekdo-images.com/images/pic564868.jpg,8,"Partnerships, Role Playing, Variable Player Powers, Voting",1382,"Bluffing, Deduction, Horror, Murder/Mystery, Party Game",1.7419
1827,8172/coyote,Coyote,3,6,30,20,30,6.59905,6.06657,1127,https://cf.geekdo-images.com/images/pic33850.jpg,10,none,1396,"Bluffing, Card Game, Deduction, Party Game",1.2056
1828,136955/hands-sea,Hands in the Sea,2,2,120,90,120,7.9436,6.06624,328,https://cf.geekdo-images.com/images/pic3154683.jpg,14,Deck / Pool Building,774,"Ancient, Card Game, Wargame",3
1829,37165/warhammer-40000-fifth-edition,"Warhammer 40,000 (fifth edition)",2,12,60,60,60,6.7146,6.0661,1002,https://cf.geekdo-images.com/images/pic348981.jpg,0,"Dice Rolling, Modular Board, Variable Player Powers",1508,"Fighting, Miniatures, Science Fiction",3.7317
1830,169147/letter-tycoon,Letter Tycoon,2,5,30,30,30,7.08583,6.06591,625,https://cf.geekdo-images.com/images/pic2510971.jpg,8,"Commodity Speculation, Hand Management, Set Collection, Variable Player Powers",1196,"Economic, Word Game",2
1831,175/raj,Raj,2,5,20,20,20,6.45965,6.0659,1572,https://cf.geekdo-images.com/images/pic1515479.jpg,8,Simultaneous Action Selection,2346,"Animals, Bluffing, Card Game",1.1915
1832,12681/neuland,Neuland,2,4,100,100,100,6.51796,6.06586,1299,https://cf.geekdo-images.com/images/pic299414.jpg,12,"Action Point Allowance System, Tile Placement, Time Track, Worker Placement",2057,"Civilization, Economic",3.6918
1833,32165/darjeeling,Darjeeling,2,5,60,60,60,6.56824,6.06577,1235,https://cf.geekdo-images.com/images/pic255556.jpg,12,"Commodity Speculation, Grid Movement, Modular Board, Set Collection",1315,"Economic, Farming",2.2179
1834,206931/noch-mal,Noch mal!,1,6,20,20,0,6.97665,6.06526,659,https://cf.geekdo-images.com/images/pic3141302.jpg,8,Dice Rolling,1123,Dice,1.2143
1835,191004/my-first-stone-age,My First Stone Age,2,4,15,15,15,6.82431,6.06375,837,https://cf.geekdo-images.com/images/pic2830962.jpg,5,"Memory, Set Collection",1886,"Children's Game, Memory, Prehistoric",1.1765
1836,122889/dominare,Dominare,2,6,120,120,120,6.86408,6.06373,754,https://cf.geekdo-images.com/images/pic1352661.jpg,12,"Action Point Allowance System, Area Control / Area Influence, Card Drafting, Hand Management",1286,"Economic, Fantasy, Political, Renaissance, Territory Building",3.4375
1837,41569/great-fire-london-1666,The Great Fire of London 1666,3,6,120,80,120,6.51984,6.06309,1329,https://cf.geekdo-images.com/images/pic3687294.jpg,12,"Action Point Allowance System, Area Movement, Simulation",2040,Renaissance,2.5285
1838,117942/zooloretto-dice-game,Zooloretto: The Dice Game,2,4,15,15,15,6.45753,6.06265,1481,https://cf.geekdo-images.com/images/pic1652300.png,7,"Dice Rolling, Set Collection",1881,"Animals, Dice",1.2522
1839,5942/mystery-rummy-al-capone-and-chicago-underworld,Mystery Rummy: Al Capone and the Chicago Underworld,2,4,40,20,40,6.87689,6.06251,748,https://cf.geekdo-images.com/images/pic55926.jpg,8,Set Collection,1359,"Card Game, Mafia",1.5778
1840,15033/australia,Australia,2,5,90,60,90,6.51538,6.06221,1313,https://cf.geekdo-images.com/images/pic183103.jpg,10,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management",1506,"Aviation / Flight, Exploration",2.413
1841,105593/cheating-moth,Cheating Moth,3,5,30,30,30,6.51588,6.06161,1422,https://cf.geekdo-images.com/images/pic2220182.jpg,7,Hand Management,2696,"Action / Dexterity, Card Game",1.1687
1842,552/bus,Bus,3,5,120,120,120,6.89675,6.06117,696,https://cf.geekdo-images.com/images/pic166866.jpg,14,"Pick-up and Deliver, Worker Placement",744,Transportation,3.1
1843,33003/caucasus-campaign,The Caucasus Campaign,2,2,360,360,360,7.65191,6.06107,387,https://cf.geekdo-images.com/images/pic581710.jpg,0,"Dice Rolling, Hex-and-Counter",970,"Wargame, World War II",2.9688
1844,168433/world-smog-her-majestys-service,The World of Smog: On Her Majesty's Service,2,4,60,60,60,6.98983,6.06084,689,https://cf.geekdo-images.com/images/pic2359273.jpg,14,"Auction/Bidding, Set Collection, Stock Holding, Trading",1592,"Abstract Strategy, Fantasy, Miniatures, Science Fiction",2.5135
1845,193560/escape-room-mystery-stargazers-manor,Escape the Room: Mystery at the Stargazer's Manor,3,8,90,90,90,6.69412,6.06078,930,https://cf.geekdo-images.com/images/pic2900441.jpg,10,"Co-operative Play, Memory, Paper-and-Pencil, Pattern Recognition, Storytelling",1936,"Murder/Mystery, Party Game, Puzzle",1.5417
1846,228660/betrayal-baldurs-gate,Betrayal at Baldur's Gate,3,6,60,60,60,7.3121,6.06033,575,https://cf.geekdo-images.com/images/pic3581400.png,12,"Co-operative Play, Dice Rolling, Modular Board, Partnerships, Role Playing, Storytelling, Variable Player Powers",1910,"Adventure, Exploration, Fantasy, Miniatures",2.4545
1847,179182/dojo-kun,Dojo Kun,1,4,90,60,90,7.24158,6.06033,548,https://cf.geekdo-images.com/images/pic3639331.jpg,13,"Betting/Wagering, Dice Rolling, Worker Placement",716,"Dice, Fighting",2.6944
1848,1116/oh-hell,Oh Hell!,3,7,30,30,30,6.77075,6.06017,854,https://cf.geekdo-images.com/images/pic616572.jpg,10,Trick-taking,531,Card Game,1.7938
1849,41490/phantom-leader,Phantom Leader,1,1,30,30,30,7.50481,6.05985,441,https://cf.geekdo-images.com/images/pic1046609.jpg,12,"Campaign / Battle Card Driven, Card Drafting, Dice Rolling",843,"Aviation / Flight, Modern Warfare, Vietnam War, Wargame",2.5735
1850,107190/flash-duel-second-edition,Flash Duel: Second Edition,1,5,5,5,5,6.93109,6.05907,731,https://cf.geekdo-images.com/images/pic1088491.jpg,0,"Hand Management, Partnerships, Variable Player Powers",1078,"Card Game, Fantasy, Fighting",1.614
1851,3605/third-world-war,The Third World War,2,2,360,360,360,7.75497,6.05856,380,https://cf.geekdo-images.com/images/pic128065.jpg,12,"Dice Rolling, Hex-and-Counter, Simulation",827,"Modern Warfare, Wargame",3.46
1852,154875/silent-victory-us-submarines-pacific-1941-45,"Silent Victory: U.S. Submarines in the Pacific, 1941-45",1,2,120,120,120,8.00431,6.05793,376,https://cf.geekdo-images.com/images/pic2635114.png,12,"Dice Rolling, Press Your Luck, Simulation",1183,"Nautical, Wargame, World War II",2.9643
1853,13883/jenseits-von-theben,Jenseits von Theben,2,4,75,75,75,7.18232,6.05767,526,https://cf.geekdo-images.com/images/pic98697.jpg,10,Time Track,468,"Exploration, Travel",2.4375
1854,76674/string-railway,String Railway,2,5,30,30,30,6.42451,6.05729,1617,https://cf.geekdo-images.com/images/pic1346976.jpg,8,Route/Network Building,2557,"Territory Building, Trains",1.4444
1855,44/david-goliath,David & Goliath,3,6,60,60,60,6.45176,6.05682,1454,https://cf.geekdo-images.com/images/pic359902.jpg,8,Trick-taking,1776,Card Game,1.6158
1856,201248/evolution-beginning,Evolution: The Beginning,2,5,40,30,40,6.89878,6.05675,742,https://cf.geekdo-images.com/images/pic3042047.jpg,8,"Action Point Allowance System, Hand Management, Simulation",1909,"Animals, Card Game, Educational, Environmental, Prehistoric",1.8235
1857,114387/thebes-tomb-raiders,Thebes: The Tomb Raiders,2,4,30,30,30,6.89983,6.05659,678,https://cf.geekdo-images.com/images/pic1559393.jpg,8,"Card Drafting, Set Collection, Time Track",1441,"Card Game, Exploration, Travel",2.0714
1858,200454/planetarium,Planetarium,1,4,45,45,45,7.14234,6.05645,585,https://cf.geekdo-images.com/images/pic3224251.jpg,10,"Grid Movement, Hand Management, Set Collection",1351,"Educational, Science Fiction, Space Exploration",2.0833
1859,420/rail-baron,Rail Baron,3,6,240,240,240,6.5733,6.05626,1424,https://cf.geekdo-images.com/images/pic292230.jpg,10,Roll / Spin and Move,2239,"Economic, Trains, Transportation",2.2771
1860,103132/rapa-nui,Rapa Nui,2,4,40,40,40,6.85479,6.056,713,https://cf.geekdo-images.com/images/pic1043931.jpg,10,"Card Drafting, Hand Management, Stock Holding",727,"Card Game, Economic",2.06
1861,155708/tiny-epic-defenders,Tiny Epic Defenders,1,4,30,30,30,6.38779,6.05577,1903,https://cf.geekdo-images.com/images/pic2044766.jpg,13,"Action Point Allowance System, Area Control / Area Influence, Campaign / Battle Card Driven, Co-operative Play, Variable Player Powers",5086,"Fantasy, Medieval",1.7912
1862,173105/great-war,The Great War,2,2,60,60,60,7.87394,6.05529,343,https://cf.geekdo-images.com/images/pic2406051.jpg,0,none,950,"Miniatures, Wargame, World War I",2.6667
1863,131118/asgard,Asgard,2,4,120,60,120,6.91457,6.05513,692,https://cf.geekdo-images.com/images/pic1529138.jpg,12,"Simultaneous Action Selection, Variable Phase Order, Worker Placement",1600,"Ancient, Mythology",3.7632
1864,185123/ascension-dreamscape,Ascension: Dreamscape,1,4,60,30,60,7.71766,6.0551,368,https://cf.geekdo-images.com/images/pic3180363.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management",792,"Card Game, Fantasy",2.3846
1865,68228/railways-world-card-game,Railways of the World: The Card Game,2,4,60,30,60,6.74819,6.05496,840,https://cf.geekdo-images.com/images/pic685557.jpg,8,"Card Drafting, Pick-up and Deliver, Set Collection",1291,"Card Game, Trains",2.2069
1866,56707/colonia,Colonia,3,6,120,120,120,6.60698,6.05491,1071,https://cf.geekdo-images.com/images/pic560068.jpg,12,"Auction/Bidding, Set Collection, Voting, Worker Placement",1389,"Economic, Medieval",3.134
1867,24070/afrika-second-edition,Afrika (second edition),2,2,360,360,360,7.58634,6.05425,383,https://cf.geekdo-images.com/images/pic882163.jpg,14,"Dice Rolling, Hex-and-Counter, Simulation",911,"Wargame, World War II",2.6615
1868,163930/abracawhat,Abraca...what?,2,5,30,20,30,6.61198,6.05403,1066,https://cf.geekdo-images.com/images/pic2209219.jpg,8,"Memory, Press Your Luck",1415,Deduction,1.6852
1869,30539/get-bit,Get Bit!,3,6,20,20,20,6.18875,6.05376,4932,https://cf.geekdo-images.com/images/pic1700239.jpg,7,"Hand Management, Player Elimination, Simultaneous Action Selection",8425,"Animals, Bluffing, Party Game, Racing",1.1217
1870,96713/deadwood,Deadwood,2,5,60,60,60,6.43346,6.05271,1597,https://cf.geekdo-images.com/images/pic973934.jpg,13,"Dice Rolling, Worker Placement",2815,"American West, City Building",2.1709
1871,422/1835,1835,3,7,360,360,360,7.02257,6.05208,632,https://cf.geekdo-images.com/images/pic202312.jpg,16,"Auction/Bidding, Route/Network Building, Stock Holding",1126,"Economic, Trains",3.9674
1872,2639/panzer-leader,Panzer Leader,2,2,90,90,90,6.56195,6.05205,1392,https://cf.geekdo-images.com/images/pic1065263.png,12,"Dice Rolling, Hex-and-Counter, Modular Board",3368,"Wargame, World War II",3.1071
1873,3655/settlers-canaan,The Settlers of Canaan,2,4,60,60,60,6.78114,6.05199,1183,https://cf.geekdo-images.com/images/pic162247.jpg,7,"Hand Management, Set Collection, Trading",2161,"Ancient, Civilization, Religious",2.3333
1874,208773/quartermaster-general-1914,Quartermaster General: 1914,2,5,120,90,120,7.80531,6.0514,339,https://cf.geekdo-images.com/images/pic3183517.jpg,12,"Area Control / Area Influence, Campaign / Battle Card Driven, Card Drafting, Deck / Pool Building, Hand Management",597,"Wargame, World War I",2.4286
1875,137776/praetor,Praetor,2,5,75,75,75,6.66969,6.05134,1018,https://cf.geekdo-images.com/images/pic1963503.png,12,"Modular Board, Tile Placement, Variable Player Powers, Worker Placement",1957,"Ancient, City Building, Economic",2.9855
1876,161226/builders-antiquity,The Builders: Antiquity,2,4,30,30,30,6.86342,6.05125,737,https://cf.geekdo-images.com/images/pic3095866.jpg,10,"Action Point Allowance System, Card Drafting, Set Collection",1620,"Ancient, City Building",1.907
1877,21641/aquadukt,Aquí_dukt,2,4,30,30,30,6.42202,6.05106,1557,https://cf.geekdo-images.com/images/pic113373.jpg,8,"Dice Rolling, Press Your Luck, Route/Network Building, Tile Placement",1819,"City Building, Dice",1.707
1878,19948/rum-pirates,Rum & Pirates,2,5,60,60,60,6.42693,6.05083,1618,https://cf.geekdo-images.com/images/pic134528.jpg,9,"Action Point Allowance System, Dice Rolling, Modular Board",2295,"Dice, Miniatures, Pirates",1.9479
1879,105624/poseidons-kingdom,Poseidon's Kingdom,2,4,45,45,45,6.86898,6.05046,688,https://cf.geekdo-images.com/images/pic2650957.jpg,10,"Area Movement, Dice Rolling, Tile Placement",1240,"Animals, Dice, Mythology",2.4
1880,149853/bullfrogs,Bullfrogs,2,4,40,20,40,6.96542,6.05039,700,https://cf.geekdo-images.com/images/pic2943197.png,8,"Action Point Allowance System, Area Control / Area Influence, Hand Management, Modular Board",1482,"Abstract Strategy, Animals, Card Game",1.8889
1881,129320/castle-dice,Castle Dice,1,4,45,45,45,6.75745,6.05033,845,https://cf.geekdo-images.com/images/pic1639553.jpg,10,"Dice Rolling, Set Collection",1409,"Dice, Medieval",2.2759
1882,203430/fuji-flush,Fuji Flush,3,8,20,10,20,6.53336,6.04958,1223,https://cf.geekdo-images.com/images/pic3086849.jpg,7,"Hand Management, Take That",1964,"Card Game, Number",1.08
1883,127095/origin,Origin,2,4,60,45,60,6.773,6.0494,822,https://cf.geekdo-images.com/images/pic1773030.jpg,8,"Area Control / Area Influence, Area Movement, Hand Management, Set Collection",1495,"Exploration, Prehistoric",2.1489
1884,192638/multiuniversum,Multiuniversum,1,5,40,20,40,6.85335,6.04888,759,https://cf.geekdo-images.com/images/pic3882119.jpg,12,"Card Drafting, Hand Management, Pick-up and Deliver, Point to Point Movement, Set Collection",1521,"Card Game, Science Fiction",2.0769
1885,9/el-caballero,El Caballero,2,4,90,90,90,6.50519,6.04836,1293,https://cf.geekdo-images.com/images/pic1731731.jpg,13,"Area Control / Area Influence, Tile Placement",2358,Exploration,3.1944
1886,25794/axis-allies-naval-miniatures-war-sea,Axis & Allies Naval Miniatures: War at Sea,2,2,60,60,60,7.00756,6.04831,697,https://cf.geekdo-images.com/images/pic290711.jpg,12,"Dice Rolling, Grid Movement",1132,"Collectible Components, Dice, Miniatures, Nautical, Wargame, World War II",2.0781
1887,7806/king-me,King Me!,3,6,30,30,30,6.36988,6.04829,1918,https://cf.geekdo-images.com/images/pic3297261.png,8,Voting,2011,"Bluffing, Deduction, Renaissance",1.2245
1888,464/billabong,Billabong,2,4,30,30,30,6.85422,6.04802,698,https://cf.geekdo-images.com/images/pic280739.jpg,10,Grid Movement,736,"Abstract Strategy, Animals, Racing",1.9677
1889,5795/richelieu,Richelieu,2,2,45,45,45,6.63977,6.04741,964,https://cf.geekdo-images.com/images/pic713742.jpg,12,"Card Drafting, Set Collection",1154,Card Game,1.9259
1890,1597/streetcar,Streetcar,2,5,60,60,60,6.46356,6.04722,1381,https://cf.geekdo-images.com/images/pic331964.jpg,10,"Route/Network Building, Tile Placement",1989,"Racing, Trains, Transportation",2.0658
1891,150926/roll-through-ages-iron-age,Roll Through the Ages: The Iron Age,1,4,60,40,60,6.72708,6.04717,838,https://cf.geekdo-images.com/images/pic1840147.jpg,10,"Dice Rolling, Press Your Luck",1707,"Ancient, City Building, Civilization, Dice",2.234
1892,181761/pi-mal-pflaumen,Pi mal Pflaumen,3,5,40,30,40,6.64867,6.04701,934,https://cf.geekdo-images.com/images/pic2635730.jpg,8,"Auction/Bidding, Card Drafting, Set Collection",1489,Card Game,1.7742
1893,97357/sunrise-city,Sunrise City,2,4,60,60,60,6.65855,6.04699,924,https://cf.geekdo-images.com/images/pic1296019.jpg,10,"Auction/Bidding, Card Drafting, Tile Placement, Variable Player Powers",1418,City Building,2.3288
1894,10819/navia-dratp,Navia Dratp,2,2,30,30,30,7.18319,6.04695,540,https://cf.geekdo-images.com/images/pic1628164.jpg,8,Grid Movement,948,"Abstract Strategy, Collectible Components, Fantasy",2.9091
1895,1260/rook,Rook,2,6,45,45,45,6.38867,6.04656,2072,https://cf.geekdo-images.com/images/pic394433.jpg,8,"Auction/Bidding, Card Drafting, Hand Management, Partnerships, Trick-taking",5759,Card Game,1.8629
1896,172155/ascension-dawn-champions,Ascension: Dawn of Champions,1,4,30,30,30,7.40943,6.04627,459,https://cf.geekdo-images.com/images/pic2449596.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management",1013,"Card Game, Fantasy",2.2
1897,84469/furstenfeld,Fí_rstenfeld,2,5,60,60,60,6.53983,6.04621,1122,https://cf.geekdo-images.com/images/pic821599.jpg,13,"Commodity Speculation, Hand Management",1271,"Economic, Farming, Medieval",2.4653
1898,635/formula-motor-racing,Formula Motor Racing,3,6,20,20,20,6.38635,6.04613,1758,https://cf.geekdo-images.com/images/pic1513026.jpg,8,"Dice Rolling, Hand Management",2053,"Card Game, Dice, Racing",1.1854
1899,32441/bezzerwizzer,Bezzerwizzer,2,4,45,45,45,6.40906,6.04595,1898,https://cf.geekdo-images.com/images/pic646758.jpg,14,"Betting/Wagering, Simultaneous Action Selection",3291,"Party Game, Trivia",1.6129
1900,182351/thiefs-market,Thief's Market,3,5,50,30,50,6.64222,6.04557,999,https://cf.geekdo-images.com/images/pic2773860.png,10,Dice Rolling,2830,"Dice, Fantasy",1.85
1901,2981/breaking-away,Breaking Away,2,9,90,60,90,7.37985,6.04547,419,https://cf.geekdo-images.com/images/pic2770585.jpg,10,none,408,"Abstract Strategy, Racing, Sports",2.2807
1902,23985/midgard,Midgard,3,5,60,60,60,6.61896,6.04503,978,https://cf.geekdo-images.com/images/pic144601.jpg,12,"Area Control / Area Influence, Card Drafting, Hand Management, Memory, Set Collection",1200,"Medieval, Mythology",2.3761
1903,79131/star-trek-expeditions,Star Trek: Expeditions,1,4,60,60,60,6.51206,6.04431,1353,https://cf.geekdo-images.com/images/pic1021598.jpg,14,"Co-operative Play, Variable Player Powers",2431,"Adventure, Movies / TV / Radio theme, Science Fiction, Space Exploration",2.4118
1904,815/chrononauts,Chrononauts,1,6,30,30,30,6.22796,6.04357,4760,https://cf.geekdo-images.com/images/pic1909256.jpg,11,"Hand Management, Modular Board, Press Your Luck",7768,"Bluffing, Card Game, Deduction, Educational, Political, Science Fiction, World War I, World War II",1.8462
1905,4583/pinochle,Pinochle,2,4,45,45,45,6.79274,6.0435,813,https://cf.geekdo-images.com/images/pic1154163.jpg,10,"Auction/Bidding, Trick-taking",900,Card Game,2.321
1906,20609/asia-engulfed,Asia Engulfed,2,2,480,480,480,7.55381,6.0433,396,https://cf.geekdo-images.com/images/pic256177.jpg,12,"Area Control / Area Influence, Area Movement, Dice Rolling, Secret Unit Deployment",1470,"Wargame, World War II",3.7949
1907,139562/rockwell,Rockwell,2,4,90,90,90,7.26285,6.0428,478,https://cf.geekdo-images.com/images/pic1661396.jpg,14,"Area Control / Area Influence, Area Movement, Modular Board, Worker Placement",895,"Economic, Exploration, Industry / Manufacturing, Number",3.1951
1908,4204/tunisia,Tunisia,2,2,360,360,360,7.73818,6.04219,363,https://cf.geekdo-images.com/images/pic436515.jpg,16,"Dice Rolling, Hex-and-Counter, Simulation",989,"Wargame, World War II",4.0714
1909,129736/kakerlakenpoker-royal,Kakerlakenpoker Royal,2,6,25,15,25,6.77528,6.04165,807,https://cf.geekdo-images.com/images/pic2906512.png,8,"Hand Management, Set Collection",1433,"Bluffing, Card Game",1.1622
1910,140863/council-verona,Council of Verona,2,5,20,20,20,6.40909,6.04135,1586,https://cf.geekdo-images.com/images/pic1673162.jpg,13,"Auction/Bidding, Card Drafting, Hand Management",2671,"Bluffing, Card Game, Deduction, Novel-based, Renaissance",1.3729
1911,142402/red-dragon-inn-4,The Red Dragon Inn 4,2,4,60,60,60,7.34975,6.04124,509,https://cf.geekdo-images.com/images/pic1746008.jpg,13,"Betting/Wagering, Hand Management, Variable Player Powers",1751,"Card Game, Fantasy, Humor, Medieval, Party Game",1.7
1912,24509/ruse-bruise,Ruse & Bruise,2,6,30,30,30,6.43385,6.04122,1614,https://cf.geekdo-images.com/images/pic181615.jpg,8,none,2220,"Card Game, Medieval",1.8873
1913,65673/masques,Masques,2,4,45,45,45,6.56685,6.04036,1169,https://cf.geekdo-images.com/images/pic3090551.jpg,13,"Area Control / Area Influence, Card Drafting, Hand Management, Memory",2460,"Card Game, Political, Renaissance",2.0256
1914,34320/shanghaien,Shanghaien,2,2,20,20,20,6.60125,6.04025,1044,https://cf.geekdo-images.com/images/pic310863.jpg,8,"Dice Rolling, Set Collection",1185,Pirates,1.4673
1915,156180/eggs-and-empires,Eggs and Empires,2,6,25,25,25,6.81691,6.03963,722,https://cf.geekdo-images.com/images/pic1954419.jpg,8,"Auction/Bidding, Hand Management, Simultaneous Action Selection",1299,"Bluffing, Card Game, Deduction, Fantasy",1.3
1916,101020/pax,PAX,1,4,30,30,30,6.83841,6.0395,700,https://cf.geekdo-images.com/images/pic1044543.jpg,10,"Area Control / Area Influence, Card Drafting, Hand Management, Set Collection",959,"Ancient, Card Game",2.1429
1917,79073/resident-evil-deck-building-game,Resident Evil Deck Building Game,1,4,30,30,30,6.52453,6.03923,1555,https://cf.geekdo-images.com/images/pic1221489.jpg,13,"Card Drafting, Deck / Pool Building, Variable Player Powers",2651,"Card Game, Horror, Video Game Theme, Zombies",2.2828
1918,32014/confucius,Confucius,3,5,100,100,100,6.85467,6.03894,676,https://cf.geekdo-images.com/images/pic250949.jpg,12,"Action Point Allowance System, Area Control / Area Influence",818,Political,3.7196
1919,1444/spqr,SPQR,2,2,240,240,240,7.36032,6.03894,440,https://cf.geekdo-images.com/images/pic182956.jpg,13,Hex-and-Counter,1061,"Ancient, Wargame",3.7031
1920,17053/sleeping-queens,Sleeping Queens,2,5,10,10,10,6.42195,6.03891,1861,https://cf.geekdo-images.com/images/pic2401336.jpg,8,"Hand Management, Memory, Set Collection, Take That, Trick-taking",3965,"Bluffing, Card Game, Children's Game, Deduction, Educational, Fantasy, Math, Memory, Mythology, Number",1.0543
1921,174837/sol-last-days-star,Sol:  Last Days of a Star,1,5,90,45,90,7.77137,6.03812,372,https://cf.geekdo-images.com/images/pic2656553.png,10,"Action Point Allowance System, Area Movement, Pattern Building, Route/Network Building",745,Science Fiction,2.9444
1922,20022/terra-nova,Terra Nova,2,4,45,45,45,6.41644,6.03789,1506,https://cf.geekdo-images.com/images/pic696514.jpg,10,"Area Control / Area Influence, Area Enclosure, Grid Movement",2213,"Abstract Strategy, Territory Building",2.2614
1923,120605/neuroshima-convoy,Neuroshima: Convoy,2,2,40,30,40,6.83448,6.03752,757,https://cf.geekdo-images.com/images/pic2639998.jpg,10,"Area Movement, Hand Management, Take That",1952,"Card Game, Fighting, Science Fiction",2.587
1924,74390/rolling-freight,Rolling Freight,2,5,180,120,180,6.84762,6.03701,672,https://cf.geekdo-images.com/images/pic1289852.jpg,13,"Action Point Allowance System, Card Drafting, Dice Rolling, Pick-up and Deliver, Route/Network Building, Simulation",1060,"Dice, Trains, Transportation",3.0175
1925,2162/warhammer-40000,"Warhammer 40,000",2,6,120,30,120,6.4343,6.03696,2087,https://cf.geekdo-images.com/images/pic52670.jpg,17,"Dice Rolling, Modular Board, Variable Player Powers",3092,"Fighting, Miniatures, Science Fiction",3.4745
1926,184522/dead-last,Dead Last,6,12,90,10,90,6.59481,6.03679,1100,https://cf.geekdo-images.com/images/pic3021686.jpg,14,"Simultaneous Action Selection, Take That, Voting",2039,"Bluffing, Card Game, Negotiation, Party Game",1.1111
1927,122891/courtier,Courtier,2,4,45,45,45,6.70428,6.03603,834,https://cf.geekdo-images.com/images/pic1355948.jpg,10,"Area Control / Area Influence, Card Drafting, Hand Management, Variable Player Powers",1349,"Card Game, Renaissance, Territory Building",2.3607
1928,178944/battalia-creation,BATTALIA: The Creation,2,4,180,60,180,7.66952,6.03536,610,https://cf.geekdo-images.com/images/pic3751922.png,12,"Area Control / Area Influence, Area Movement, Deck / Pool Building, Modular Board, Tile Placement",1098,"Card Game, Civilization, Fantasy, Miniatures, Territory Building",3.4
1929,198522/archer-once-you-go-blackmail,Archer: Once You Go Blackmail...,2,4,30,20,30,7.20466,6.03522,513,https://cf.geekdo-images.com/images/pic2986375.jpg,10,"Hand Management, Player Elimination",1319,"Card Game, Deduction, Movies / TV / Radio theme, Spies/Secret Agents",1.2308
1930,178134/london-dread,London Dread,2,4,90,60,90,6.9965,6.03511,633,https://cf.geekdo-images.com/images/pic3068547.jpg,14,"Co-operative Play, Simultaneous Action Selection, Variable Player Powers",1452,"Horror, Murder/Mystery, Real-time",2.9167
1931,4209/monza,Monza,2,6,10,10,10,6.58466,6.03488,1084,https://cf.geekdo-images.com/images/pic393664.jpg,5,"Dice Rolling, Roll / Spin and Move",1964,"Children's Game, Dice, Racing, Sports",1.039
